propert_title,propert_location,price,area,listing_type
300 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15 OMR,300,For Rent
1600 m2 1 Bedroom Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",130 OMR,1600,For Rent
340 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",65 OMR,340,For Rent
"مخزن مكيف   تخزين وتغليف وتوصيل       store air-conditioned Storage, packaging and delivery..","Muscat, Al Maabilah",10 OMR,700,For Rent
Furnished Daily in Muscat Al Maabilah,"Muscat, Al Maabilah",10 OMR,,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",20 OMR,,For Rent
Commercial villa for rent in Qurum,"Muscat, Qurm","1,200 OMR",1111,For Rent
Furnished Daily in Dhofar Taqah,"Dhofar, Taqah",15 OMR,,For Rent
600 m2 3 Bedrooms Townhouse for Rent in Muscat Ghubrah,"Muscat, Ghubrah","370,000 OMR",600,For Rent
2 Bedrooms Chalet for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",45 OMR,300,For Rent
100 m2 4 Bedrooms Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",490 OMR,100,For Rent
لا تفوّت هذه الفرصة – مكتب للايجار في موقع مميز  + تصميم داخلي مجانًا!,"Muscat, Bosher",450 OMR,110,For Rent
5 bedroom Villa for rent salalah,"Dhofar, Sadah",125 OMR,300,For Rent
210 m2 4 Bedrooms Villa for Rent in Al Batinah Sohar,"Al Batinah, Sohar",220 OMR,210,For Rent
Unfurnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",95 OMR,,For Rent
4000 m2 1 Bedroom Apartments for Rent in Muscat Qurm,"Muscat, Qurm",340 OMR,4000,For Rent
Unfurnished Monthly in Muscat Al Khuwair,"Muscat, Al Khuwair",80 OMR,,For Rent
300 m2 5 Bedrooms Townhouse for Rent in Al Sharqiya Ibra,"Al Sharqiya, Ibra",180 OMR,300,For Rent
70 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",,70,For Rent
Shops for rent in Amerate Phase 12,"Muscat, Amerat",100 OMR,38,For Rent
150 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,150,For Rent
110 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",55 OMR,110,For Rent
Furnished Monthly in Muscat Halban,"Muscat, Halban",45 OMR,,For Rent
Shops for Rent in Barka,"Al Batinah, Barka",120 OMR,33,For Rent
300 m2 3 Bedrooms Townhouse for Rent in Muscat Ghubrah,"Muscat, Ghubrah",500 OMR,300,For Rent
6 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,6,For Rent
75 m2 1 Bedroom Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",190 OMR,75,For Rent
Unfurnished Yearly in Muscat Seeb,"Muscat, Seeb",100 OMR,,For Rent
65 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",130 OMR,65,For Rent
Farm Land for Rent in Muscat Quriyat,"Muscat, Quriyat","170,000 OMR",,For Rent
Furnished Daily in Al Batinah Sohar,"Al Batinah, Sohar",10 OMR,,For Rent
111 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Masira,"Al Sharqiya, Masira",35 OMR,111,For Rent
3 Bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",100 OMR,600,For Rent
10 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,10,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,100,For Rent
1 m2 Studio Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",14 OMR,1,For Rent
200 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",120 OMR,200,For Rent
للايجار محل و معرض في سوق الخوض,"Muscat, Al Khoud","3,500 OMR",770,For Rent
منزل ( طابق ارضي ) للإيجار اليومي صلالة _ طاقة قريب على الخدمات ويوجد به حوش خارجي .,"Dhofar, Taqah",65 OMR,600,For Rent
222 m2 4 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",5 OMR,222,For Rent
Furnished Daily in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",9 OMR,,For Rent
350 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",29 OMR,350,For Rent
650 m2 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",85 OMR,650,For Rent
Furnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",120 OMR,,For Rent
Furniched flat for rent weakly / monthly / yearly,"Al Batinah, Sohar",260 OMR,150,For Rent
Studio Chalet for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,1,For Rent
141 m2 3 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",120 OMR,141,For Rent
350 m2 4 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",35 OMR,350,For Rent
245 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,245,For Rent
300 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",60 OMR,300,For Rent
600 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",200 OMR,600,For Rent
100 ft² 2 Bedrooms Apartments for Rent in Muscat Amerat,"Muscat, Amerat",15 OMR,,For Rent
200 m2 2 Bedrooms Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",100 OMR,200,For Rent
Furnished Monthly in Muscat Ansab,"Muscat, Ansab",125 OMR,,For Rent
600 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,600,For Rent
97 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah","21,000 OMR",97,For Rent
Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",110 OMR,,For Rent
Beautiful 4+1 BR Villa Available for Rent in Azaiba,"Muscat, Azaiba",630 OMR,320,For Rent
مستودع او مصنع,"Al Batinah, Sohar","4,000 OMR",4000,For Rent
Furnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",50 OMR,,For Rent
500 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,500,For Rent
360 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",95 OMR,360,For Rent
3 Bedrooms Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",95 OMR,300,For Rent
Flats for rent in hamasa beside Toyota- شقة للايجار في حماسه بجانب وكالة تويوتا,"Buraimi, Al Buraimi",65 OMR,90,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",40 OMR,900,For Rent
180 m2 More than 6 bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,180,For Rent
120 m2 3 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",180 OMR,120,For Rent
36 m2 4 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",65 OMR,36,For Rent
270 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,270,For Rent
1 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,1,For Rent
للايجار  محل في موقع ممتاز بالمعبيله السابعه مقابل نيستوا الجديد  مباشرة و خلف محل موني باك,"Muscat, Al Maabilah",120 OMR,30,For Rent
120 m2 4 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",180 OMR,120,For Rent
85 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",250 OMR,85,For Rent
50 m2 Studio Apartments for Rent in Al Batinah Al Khaboura,"Al Batinah, Al Khaboura",50 OMR,50,For Rent
300 m2 5 Bedrooms Villa for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",420 OMR,300,For Rent
25 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",35 OMR,25,For Rent
مكتب او معرض بمساحة 70م تقريبا به دورة مياه ومطبخ وتكيف وستائر,"Muscat, Al Khoud",280 OMR,70,For Rent
288 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",,288,For Rent
52885 m2 3 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",70 OMR,52885,For Rent
Muscat Galaxy Hostel,"Muscat, Ghubrah",3 OMR,,For Rent
3 Bedrooms Chalet for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",130 OMR,360,For Rent
Industrial Land for Rent in Al Batinah Rustaq,"Al Batinah, Rustaq",600 OMR,,For Rent
110 m2 2 Bedrooms Apartments for Rent in Muscat Seeb,"Muscat, Seeb",340 OMR,110,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Amerat,"Muscat, Amerat",130 OMR,100,For Rent
300 m2 5 Bedrooms Villa for Rent in Muscat Amerat,"Muscat, Amerat",280 OMR,300,For Rent
Furnished Daily in Muscat Al Maabilah,"Muscat, Al Maabilah",5 OMR,,For Rent
6 m2 3 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",100 OMR,6,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",50 OMR,2000,For Rent
محل تجاري للايجار في المعبيلة مقابل مانجو طلعت - Shop For Rent In Mabilla,"Muscat, Al Maabilah",150 OMR,35,For Rent
400 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",13 OMR,400,For Rent
400 m2 1 Bedroom Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",10 OMR,400,For Rent
Furnished Daily in Muscat Al Khuwair,"Muscat, Al Khuwair",8 OMR,,For Rent
298 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",25 OMR,298,For Rent
100 m2 1 Bedroom Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",185 OMR,100,For Rent
96 m2 3 Bedrooms Apartments for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",22 OMR,96,For Rent
340 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",90 OMR,340,For Rent
3 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",60 OMR,1300,For Rent
90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,90,For Rent
260 m2 4 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",1 OMR,260,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,200,For Rent
97 m2 2 Bedrooms Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",300 OMR,97,For Rent
Industrial Land Atkia Amerat  ارض صناعية العاتكية العامرات,"Muscat, Amerat","1,200 OMR",,For Rent
Furnished Daily in Muscat Al Maabilah,"Muscat, Al Maabilah",8 OMR,,For Rent
20 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15 OMR,20,For Rent
مخزن للإيجار في الرميس قرب المعبيبة/ wearhouse for rent Ma'abela,"Muscat, Al Maabilah",450 OMR,800,For Rent
133 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",46 OMR,133,For Rent
200 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",45 OMR,200,For Rent
"For Rent - 2-bedroom duplex home behind Indian School, Al Mabelah.","Muscat, Al Maabilah",190 OMR,150,For Rent
80 m2 3 Bedrooms Apartments for Rent in Muscat Sidab,"Muscat, Sidab",120 OMR,80,For Rent
100 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",180 OMR,100,For Rent
99999 m2 3 Bedrooms Apartments for Rent in Muscat Seeb,"Muscat, Seeb",210 OMR,99999,For Rent
350 m2 More than 6 bedrooms Villa for Rent in Muscat Madinat As Sultan Qaboos,"Muscat, Madinat As Sultan Qaboos",630 OMR,350,For Rent
مكتب في شارع المها للإيجار /Office for rent in a special area,"Muscat, Bosher",600 OMR,142,For Rent
400 m2 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",70 OMR,400,For Rent
2 Bedrooms Chalet for Rent in Al Dakhiliya Other,"Al Dakhiliya, Other",50 OMR,600,For Rent
1 Bedroom Chalet for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",30 OMR,330,For Rent
Economy Room With Twin Beds For Rent,"Muscat, Al Khoud",13 OMR,30,For Rent
A10 Flat for rent,"Muscat, Ghubrah",200 OMR,30,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",450 OMR,100,For Rent
600 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,600,For Rent
مجمع شاليهات هلز خريف صلاله,"Muscat, Al Khuwair",25 OMR,100,For Rent
Residential Land for Rent in Dhofar Salala,"Dhofar, Salala",,,For Rent
250 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,250,For Rent
1111 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",11 OMR,1111,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",150 OMR,100,For Rent
محل بمدينة سندان الصناعيه ف المنطقه الحيويه قسم السيارات,"Muscat, Al Maabilah",160 OMR,72,For Rent
600 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala","100,000 OMR",600,For Rent
Furnished Daily in Muscat Al Mawaleh,"Muscat, Al Mawaleh",7 OMR,,For Rent
Studio Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",25 OMR,21,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",220 OMR,100,For Rent
Studio Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",160 OMR,,For Rent
120 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,120,For Rent
محل مستحضرات التجميل للبيع أو الإخلاء,"Muscat, Al Maabilah","3,000 OMR",30,For Rent
200 m2 1 Bedroom Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",14 OMR,200,For Rent
For Rent: A Premium Villa in a Gated Community in Madinat Sultan Qaboos,"Muscat, Madinat As Sultan Qaboos",725 OMR,420,For Rent
BRAND-NEW 3 BR VILLAS AVAILABLE FOR RENT,"Muscat, Bosher",700 OMR,300,For Rent
Furnished Monthly in Muscat Al Khuwair,"Muscat, Al Khuwair",150 OMR,,For Rent
Luxurious Furnished 4+1 BR Villa Available for Rent in Mabela nearby German University,"Muscat, Al Maabilah",600 OMR,350,For Rent
Unfurnished Monthly in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",60 OMR,,For Rent
200 m2 4 Bedrooms Villa for Rent in Al Batinah Sohar,"Al Batinah, Sohar",250 OMR,200,For Rent
Sharing room available for Indian Bachelor - غرفة فقط للملاباري,"Muscat, Al Khoud",30 OMR,,For Rent
"Executive class room for rent max 2 person attached washroom , sharing kitchen","Muscat, Seeb",100 OMR,,For Rent
283 m2 5 Bedrooms Villa for Rent in Muscat Al Khoud,"Muscat, Al Khoud",800 OMR,283,For Rent
Furnished Daily in Al Dhahirah Ibri,"Al Dhahirah, Ibri",8 OMR,,For Rent
600 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,600,For Rent
Furnished Daily in Muscat Bosher,"Muscat, Bosher",8 OMR,,For Rent
صالون حلاقة مميز للبيع – فرصة استثمارية جاهزة في قلب صحار!,"Al Batinah, Sohar","1,200 OMR",37,For Rent
Furnished Monthly in Muscat Al Khuwair,"Muscat, Al Khuwair",45 OMR,,For Rent
120 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",18 OMR,120,For Rent
250 m2 5 Bedrooms Villa for Rent in Muscat Amerat,"Muscat, Amerat",390 OMR,250,For Rent
5 ft² 2 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",180 OMR,,For Rent
200 m2 3 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",80 OMR,200,For Rent
150 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",260 OMR,150,For Rent
96 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",25 OMR,96,For Rent
65 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,65,For Rent
معرض للايجار السنوي في قلب سوق الخوير جنب رواسكو Annual rental showroom in the heart of Al Khuwair M,"Muscat, Al Khuwair",320 OMR,104,For Rent
130 m2 2 Bedrooms Apartments for Rent in Muscat Bosher,"Muscat, Bosher",210 OMR,130,For Rent
4 Bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",120 OMR,250,For Rent
محلات وشقق للإيجار shops and apartment for rent,"Al Batinah, Saham",100 OMR,32,For Rent
320 m2 More than 6 bedrooms Villa for Rent in Muscat Ansab,"Muscat, Ansab",600 OMR,320,For Rent
105 m2 3 Bedrooms Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",280 OMR,105,For Rent
105 m2 3 Bedrooms Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",280 OMR,105,For Rent
Commercial Office for Rent in MQ REF 86LC,"Muscat, Madinat As Sultan Qaboos",750 OMR,139,For Rent
100 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",25 OMR,100,For Rent
"A wonderful furnished apartment for rent in Al Qurum, including internet","Muscat, Qurm",430 OMR,120,For Rent
For rent an apartment in AL GHUBRAH consisting of two rooms  for families,"Muscat, Ghubrah",250 OMR,90,For Rent
"A spacious furnished apartment in Qurum, Saih Al Maleh area. Consists of one bedroom and a living ro","Muscat, Qurm",320 OMR,90,For Rent
200 m2 1 Bedroom Townhouse for Rent in Al Dakhiliya Bidbid,"Al Dakhiliya, Bidbid",120 OMR,200,For Rent
Own a property and get a golden visa for 10 or 5 years,"Muscat, Al Mouj","2,000 OMR",500,For Rent
محل للايجار في الغبرة خلف جامعة مسقط - مساحة 25 متر,"Muscat, Ghubrah",150 OMR,25,For Rent
800 m2 5 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",60 OMR,800,For Rent
400 m2 2 Bedrooms Villa for Rent in Muscat Al-Sifah,"Muscat, Al-Sifah",30 OMR,400,For Rent
790 m2 More than 6 bedrooms Villa for Rent in Muscat Al-Hail,"Muscat, Al-Hail","1,200 OMR",790,For Rent
300 m2 5 Bedrooms Villa for Rent in Muscat Ansab,"Muscat, Ansab",500 OMR,300,For Rent
معرض للايجار في المعبيلة الجنوبية شارع الخير,"Muscat, Al Maabilah","1,200 OMR",1217,For Rent
135 m2 2 Bedrooms Apartments for Rent in Muscat Muscat Hills,"Muscat, Muscat Hills",550 OMR,135,For Rent
467 m2 More than 6 bedrooms Villa for Rent in Muscat Amerat,"Muscat, Amerat",350 OMR,467,For Rent
Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",80 OMR,,For Rent
80 m2 2 Bedrooms Apartments for Rent in Al Dhahirah Ibri,"Al Dhahirah, Ibri",80 OMR,80,For Rent
310 m2 More than 6 bedrooms Townhouse for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",380 OMR,310,For Rent
90 m2 2 Bedrooms Apartments for Rent in Dhofar Taqah,"Dhofar, Taqah",35 OMR,90,For Rent
للإيجار مكتب راقٍ بموقع مميز على الشارع السريع بوشر، مسقط,"Muscat, Bosher",500 OMR,105,For Rent
98 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,98,For Rent
Room for rent,"Muscat, Hamriya",70 OMR,,For Rent
Studio Chalet for Rent in Al Batinah Liwa,"Al Batinah, Liwa",20 OMR,250,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,100,For Rent
"مساحة تصلح ل محل أو مكتب أو كافيه للإيجار موقع حيوي Space for Shop, Cafe or Office in Prime location","Muscat, Muscat Hills",370 OMR,49,For Rent
300 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",110 OMR,300,For Rent
1 Bedroom Chalet for Rent in Muscat Bosher,"Muscat, Bosher",20 OMR,2,For Rent
1110 m2 3 Bedrooms Apartments for Rent in Al Sharqiya Sur,"Al Sharqiya, Sur",110 OMR,1110,For Rent
20 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",16 OMR,20,For Rent
50 m2 2 Bedrooms Apartments for Rent in Muscat Bosher,"Muscat, Bosher",100 OMR,50,For Rent
350 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",130 OMR,350,For Rent
Room apartment,"Muscat, Al Khuwair",150 OMR,250,For Rent
700 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",60 OMR,700,For Rent
Furnished Daily in Muscat Al Maabilah,"Muscat, Al Maabilah",8 OMR,,For Rent
ستور للإيجار,"Al Dhahirah, Ibri",20 OMR,1,For Rent
Studio apartment,"Muscat, Azaiba",180 OMR,188,For Rent
135 m2 3 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",190 OMR,135,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,200,For Rent
50 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",6 OMR,50,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Other,"Dhofar, Other",30 OMR,100,For Rent
room for rent in wattyah ( الغرفه لغير العرب ),"Muscat, Al-Wuttayah",80 OMR,,For Rent
100 m2 1 Bedroom Apartments for Rent in Muscat Bosher,"Muscat, Bosher",460 OMR,100,For Rent
250 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",60 OMR,250,For Rent
220 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,220,For Rent
Room for Rent,"Muscat, Ghala",150 OMR,50,For Rent
10 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,10,For Rent
600 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",,600,For Rent
300 m2 3 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,300,For Rent
3 Bedrooms Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",70 OMR,204,For Rent
apartment for rent only 130 OMR,"Muscat, Al Mawaleh",130 OMR,85,For Rent
1500 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,1500,For Rent
Room for rent With attach Bathroom Near al mouj and airport,"Muscat, Al Mouj",90 OMR,,For Rent
60 m2 Studio Apartments for Rent in Al Sharqiya Ibra,"Al Sharqiya, Ibra",10 OMR,60,For Rent
Furnished Monthly in Muscat Al Khuwair,"Muscat, Al Khuwair",40 OMR,,For Rent
115 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",20 OMR,115,For Rent
800 m2 More than 6 bedrooms Townhouse for Rent in Al Sharqiya Sinaw,"Al Sharqiya, Sinaw","1,500 OMR",800,For Rent
450 m2 More than 6 bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",140 OMR,450,For Rent
300 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",70 OMR,300,For Rent
250 m2 3 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,250,For Rent
